date;beta1;beta2;beta3;beta4;beta5;beta6;beta7;beta8;beta9;beta10
196803;-0.0126;-0.0044;-0.0026;0.0088;0.0016;0.0366;0.0048;0.0137;0.0274;0.0233
196804;0.0465;0.0501;0.0821;0.0977;0.1023;0.1135;0.1189;0.1282;0.1407;0.1587
196805;0.0105;0.0046;0.0282;0.0178;0.0155;0.0439;0.056;0.0227;0.0704;0.0621
196806;0.0427;0.0209;0.041;0.0012;0.0099;-0.0053;0.0066;-0.021;0.007;-0.0161
196807;0.0323;-0.0055;-0.0422;-0.0369;-0.036;-0.0453;-0.0495;-0.0404;-0.0392;-0.0432
196808;0.0095;0.0131;0.0221;0.0133;0.0141;0.0182;0.0398;0.0282;0.0205;0.0378
196809;0.0175;0.0426;0.0495;0.0335;0.0512;0.0561;0.0524;0.0579;0.0626;0.0853
196810;0.0243;0.016;-0.0103;-0.0101;0.0302;0.004;0.0066;0.016;0.0124;-0.0123
196811;0.0688;0.0561;0.0379;0.0657;0.0199;0.0674;0.054;0.0688;0.0876;0.1087
196812;-0.0467;-0.0308;-0.0279;-0.0439;-0.0273;-0.0329;-0.0462;-0.0313;-0.029;-0.0201
196901;0.0092;-0.0021;-0.0071;-0.0306;-0.0045;-0.0077;-0.0179;-0.0177;-0.005;-0.0068
196902;-0.0412;-0.0532;-0.0329;-0.0389;-0.0334;-0.0556;-0.0584;-0.0837;-0.0929;-0.1204
196903;0.0312;0.0228;0.0281;0.0471;0.0363;0.0391;0.015;0.0126;0.0324;0.0275
196904;0.0233;0.0096;0.0353;0.0302;0.0187;0.0167;0.0016;0.0017;0.0295;0.028
196905;0.0164;0.0129;-0.0012;-0.0154;0.0175;0.0009;0.0027;-0.0234;0.0081;-0.021
196906;-0.0648;-0.0646;-0.0578;-0.0148;-0.0624;-0.066;-0.0679;-0.0936;-0.1091;-0.1474
196907;-0.0576;-0.0633;-0.0587;-0.0465;-0.0524;-0.0811;-0.074;-0.0956;-0.0767;-0.1162
196908;0.0292;0.0376;0.0534;0.0606;0.0581;0.0437;0.0618;0.0589;0.0872;0.0975
196909;-0.0497;-0.0291;-0.0185;-0.0169;-0.0032;-0.0068;-0.0256;-0.0262;-0.0181;-0.0224
196910;0.0304;0.0521;0.0413;0.0703;0.0688;0.0358;0.0758;0.0965;0.0724;0.1106
196911;-0.0351;-0.0393;-0.0268;-0.0267;-0.0197;-0.0376;-0.0179;-0.054;-0.0393;-0.0638
196912;-0.0262;-0.0001;-0.0107;-0.0029;-0.02;-0.0304;-0.0337;-0.0387;-0.047;-0.0534
197001;-0.0597;-0.0711;-0.0719;-0.0743;-0.0825;-0.0779;-0.076;-0.1094;-0.1043;-0.099
197002;0.0612;0.0697;0.0427;0.066;0.0502;0.0503;0.0429;0.09;0.0594;0.0457
197003;0.0184;-0.0063;0.0076;-0.0178;0.0027;-0.0001;-0.0173;-0.0195;-0.0401;-0.0496
197004;-0.081;-0.0794;-0.0883;-0.0896;-0.1202;-0.1117;-0.1135;-0.1407;-0.1653;-0.223
197005;-0.0133;-0.0628;-0.0588;-0.0693;-0.0987;-0.0866;-0.1047;-0.0929;-0.0935;-0.1088
197006;-0.052;-0.0229;-0.0501;-0.0412;-0.0779;-0.0217;-0.089;-0.0814;-0.0738;-0.1164
197007;0.0923;0.0689;0.0749;0.0386;0.1033;0.0602;0.0948;0.1;0.0766;0.0611
197008;0.0384;0.0362;0.0572;0.0506;0.0375;0.0685;0.0689;0.0939;0.0851;0.1162
197009;0.001;0.0286;0.0261;0.067;0.0366;0.091;0.0803;0.1002;0.1382;0.2033
197010;0.0026;0.0025;-0.0088;-0.0039;-0.02;-0.0424;-0.0507;-0.0687;-0.0745;-0.1186
197011;0.066;0.0521;0.0531;0.0475;0.0576;0.0418;0.0408;0.0515;0.0144;0.023
197012;0.0439;0.0598;0.0701;0.0581;0.081;0.0586;0.0714;0.0802;0.0818;0.0614
197101;0.0386;0.0208;0.0393;0.0423;0.0571;0.0926;0.1011;0.1068;0.139;0.1263
197102;-0.0019;0.0181;0.0145;0.029;0.0255;0.0212;0.0178;0.0171;0.0212;0.0431
197103;0.0221;0.0349;0.0364;0.0563;0.0321;0.0704;0.0401;0.0749;0.0764;0.0794
197104;0.0093;0.0357;0.0533;0.0272;0.052;0.0488;0.058;0.0679;0.07;0.0315
197105;-0.0404;-0.0256;-0.0342;-0.0556;-0.0367;-0.0222;-0.042;-0.0264;-0.0561;-0.0429
197106;0.0136;0.0094;0.0066;-0.0072;-0.0007;0.0151;-0.0394;0.0015;-0.0255;-0.0142
197107;-0.0137;-0.0378;-0.0362;-0.052;-0.0382;-0.0545;-0.0617;-0.0643;-0.0634;-0.1166
197108;-0.0006;0.0233;0.0743;0.0464;0.0526;0.0791;0.0466;0.0604;0.0906;0.0811
197109;-0.0048;0.0018;-0.0038;-0.005;-0.017;-0.0044;-0.0009;0;-0.0094;-0.0327
197110;-0.0089;-0.032;-0.0454;-0.0343;-0.0737;-0.0538;-0.0724;-0.0598;-0.0625;-0.0775
197111;0.0016;0.0143;-0.0009;0.0053;-0.0123;-0.0062;-0.0054;-0.0087;-0.0124;-0.0225
197112;0.0724;0.0849;0.0841;0.0972;0.1042;0.1071;0.1014;0.1069;0.1168;0.1343
197201;0.0073;0.0095;0.0011;0.0418;0.0311;0.0417;0.0623;0.0654;0.0776;0.1324
197202;0.0135;0.0314;0.0381;0.0218;0.0399;0.025;0.0356;0.0706;0.0446;0.0383
197203;-0.0138;0.0134;0.0264;0.024;0.016;-0.0038;-0.0214;0.0086;0.0093;-0.0023
197204;0.0004;0.0133;-0.0051;0.0041;0.0131;0.0171;0.0074;0.0353;0.0069;-0.0017
197205;0.0206;0.0243;0.003;0.0243;0.0265;0.0052;0.0004;0.0208;0.0028;0.001
197206;-0.0117;0.0043;-0.0273;-0.0204;-0.0267;-0.0236;-0.0426;-0.0331;-0.0634;-0.0783
197207;0.0118;0.0005;0.0059;-0.0061;-0.0029;-0.013;-0.0163;-0.0556;-0.0433;-0.0586
197208;0.0607;0.0312;0.0304;0.0512;0.0399;0.0441;0.0247;0.0098;-0.0015;-0.0059
197209;0.0104;0.0062;-0.0074;-0.014;-0.0102;-0.0369;-0.0279;-0.0496;-0.0305;-0.0464
197210;0.035;0.0122;-0.0103;0.0181;0.0015;-0.0065;0.0111;-0.0009;-0.0269;-0.0151
197211;0.0467;0.0511;0.0384;0.0584;0.0523;0.0493;0.0748;0.0563;0.0732;0.0499
197212;0.0142;0.0192;0.0143;0.0019;-0.0043;0.0102;0.0223;-0.0307;-0.0174;-0.0454
197301;-0.0025;-0.0194;0.0171;-0.0408;-0.0622;-0.0632;-0.0628;-0.0946;-0.0737;-0.1052
197302;-0.0373;-0.0355;-0.0162;-0.0522;-0.0525;-0.0551;-0.0717;-0.0487;-0.0974;-0.1082
197303;0.0126;-0.0059;-0.0093;0.0103;-0.0187;-0.0345;-0.0185;-0.0312;-0.0265;-0.0264
197304;-0.006;-0.0359;-0.0585;-0.0544;-0.0449;-0.09;-0.0711;-0.0787;-0.0931;-0.108
197305;0.0042;-0.0221;-0.0106;-0.0127;-0.0348;-0.0378;-0.0531;-0.0676;-0.0853;-0.1235
197306;0.0095;-0.0016;-0.0075;-0.0059;-0.0296;-0.0381;-0.0451;-0.0175;-0.054;-0.0538
