date;BAB;Value;SCMOM;ESG
08.2014;0.01729306;-0.00993197;0.05420866;0.001202083
09.2014;0.02467292;-0.02510760;-0.05984223;0.008333083
10.2014;0.02088105;-0.02422509;0.05964404;0.006880533
11.2014;0.02364990;-0.03026050;-0.00141977;0.013657583
12.2014;0.00283041;-0.00041759;0.02510000;-0.014995058
01.2015;0.02627117;-0.03909340;-0.01456292;0.000254508
02.2015;-0.02069760;-0.00188854;0.04694946;-0.002807433
03.2015;0.01406170;-0.02260737;0.01777083;-0.020563258
04.2015;-0.02162725;0.04414647;-0.04350000;0.020542875
05.2015;0.02672490;-0.03441255;0.02772616;-0.002559833
06.2015;0.01969597;-0.02418957;0.00910000;-0.019411225
07.2015;0.05497710;-0.05731142;0.00700000;-0.028371625
08.2015;-0.01535228;0.01982374;-0.06761522;-0.000829442
09.2015;0.05639493;-0.02518719;-0.03964752;0.018774442
10.2015;-0.01034434;0.00525980;0.04993596;0.005633967
11.2015;0.01339931;-0.02653138;0.04612826;0.002610683
12.2015;0.02573892;-0.03509498;-0.05353978;-0.005074117
01.2016;0.00721399;-0.00641154;-0.10049548;0.011446708
02.2016;-0.00607642;0.02204305;-0.01000000;0.025078225
03.2016;-0.02433819;0.07133205;0.07090000;0.025660067
04.2016;-0.02611953;0.08539899;0.01809697;-0.029043617
05.2016;0.02227558;-0.03694166;0.02242685;-0.011118417
06.2016;0.02893926;-0.00648649;0.00624125;0.006606217
07.2016;0.02327708;-0.01864367;0.05970671;0.004643992
08.2016;-0.01841611;0.01376740;0.01100788;0.004284425
09.2016;-0.00165754;-0.00294729;0.00849907;-0.000452958
10.2016;0.01099781;0.02649162;-0.05218331;0.017342583
11.2016;-0.01624249;0.05221401;0.11270000;-0.020091608
12.2016;0.03764883;0.02794676;0.01460000;0.007845542
01.2017;0.00070510;-0.00540875;0.00949195;0.004976308
02.2017;0.01865687;-0.01740444;0.00617158;0.011828475
03.2017;0.01330376;-0.02609280;-0.00169193;0.013374767
04.2017;0.02046785;-0.02590517;0.01040179;0.001014125
05.2017;0.02294136;-0.04783580;-0.02886089;0.0323629
06.2017;-0.00026413;0.01714354;0.04556596;-0.01494705
07.2017;0.00188443;-0.00223504;0.01570000;0.00910675
08.2017;-0.00083219;-0.02660679;-0.00840000;0.025496958
09.2017;-0.00191250;0.02216297;0.07530000;-0.0224395
10.2017;0.00262943;-0.02376507;0.01439379;0.0304212
11.2017;0.01997586;-0.00161923;0.02848246;-0.016665908
12.2017;0.00476583;0.01681335;-0.00106327;-0.016049375
