date,BAB,Value,SCMOM,ESG
01.02.2007,0.01158537,0.00502167,-0.013237,-0.011084133
01.03.2007,0.00084591,-0.00590517,0.009177,-0.00693435
01.04.2007,0.00872479,-0.00689958,0.023327,0.00798695
01.05.2007,-0.01026055,0.00049067,0.030624,-0.000297267
01.06.2007,0.00797986,-0.01185263,-0.018795,0.007081158
01.07.2007,-0.00720088,-0.04455489,-0.0602,0.007311433
01.08.2007,-0.02917443,-0.01750807,0.018057,0.009229958
01.09.2007,0.01408471,-0.02818518,0.030332,-0.01503905
01.10.2007,0.00213783,-0.05160739,0.040962,-0.012461675
01.11.2007,-0.04049489,-0.0174599,-0.083144,0.012921083
01.12.2007,-0.02484748,-0.02240164,0.008626,-0.010026575
01.01.2008,-0.02086114,0.07964973,-0.10408,-0.040704508
01.02.2008,0.02263313,-0.04300929,-0.021908,-0.044710417
01.03.2008,-0.06726799,-0.00972194,-0.003745,0.011494667
01.04.2008,-0.02119396,-0.00848971,0.037373,-0.036283325
01.05.2008,0.00901789,-0.05255138,0.050514,-0.032143058
01.06.2008,0.00467989,-0.09075323,-0.05624,-0.017035008
01.07.2008,-0.06766527,0.04544777,0.041864,0.044913075
01.08.2008,-0.01296474,0.03719486,0.018413,0.018899767
01.09.2008,-0.09107469,0.01806191,-0.069995,0.054366575
01.10.2008,-0.05056246,-0.06013071,-0.191273,0.032332325
01.11.2008,-0.0352536,-0.07635188,-0.115157,0.046712975
01.12.2008,-0.07611555,0.05366509,0.044028,0.006701133
01.01.2009,0.11899921,-0.05367665,-0.1266,-0.043113842
01.02.2009,-0.00327614,-0.09144596,-0.123221,0.012471183
01.03.2009,-0.02654133,0.0764935,0.077992,-0.016448783
01.04.2009,-0.07869868,0.26864424,0.086756,-0.061896417
01.05.2009,0.06527905,0.06103592,0.012823,-0.011636067
01.06.2009,0.09099495,-0.02086732,0.035831,-0.006365358
01.07.2009,-0.03620314,0.06009184,0.087685,-0.02326185
01.08.2009,-0.02275061,0.07927193,0.001266,-0.027359433
01.09.2009,-0.00383962,0.01833417,0.04197492,0.015599758
01.10.2009,0.00814864,-0.01653547,-0.08358197,0.055239225
01.11.2009,-0.01203155,-0.00655066,0.02579214,-0.003914275
01.12.2009,0.0094006,0.00072749,0.0862759,-0.000309575
01.01.2010,0.01005168,0.03277127,-0.04104393,-0.013690992
01.02.2010,0.00739145,0.00824318,0.05214778,-0.012559317
01.03.2010,0.01544073,0.02060977,0.0899283,-0.011033492
01.04.2010,0.0148572,0.0272857,0.083211,-0.016123358
01.05.2010,-0.005654,-0.01713433,-0.08512514,0.016467883
01.06.2010,0.02310167,-0.0257305,-0.09275483,0.005633958
01.07.2010,-0.02306529,0.01940324,0.08072045,0.004684233
01.08.2010,0.01617879,-0.01502473,-0.09009677,0.009058508
01.09.2010,-0.01188469,-0.01390299,0.14790555,-0.012325325
01.10.2010,0.02061709,-0.01861508,0.04836577,0.009957625
01.11.2010,-0.00513044,-0.01136343,0.03883758,-0.025508467
01.12.2010,-0.00131194,0.03786777,0.07130809,-0.024195
01.01.2011,0.03020219,0.01082821,0.00115614,-0.007239183
01.02.2011,0.00698054,0.00187561,0.05913055,-0.008206983
01.03.2011,0.00427282,-0.01588465,0.03886462,0.004616883
01.04.2011,0.00548609,-0.01665498,0.02331089,0.034589675
01.05.2011,0.01417711,-0.01020419,-0.01987841,0.00313395
01.06.2011,0.00410826,-0.01013903,-0.01282572,0.016532033
01.07.2011,-0.0041121,-0.01785195,-0.02644499,-0.030286525
01.08.2011,0.00757581,-0.02114891,-0.10596705,0.02515215
01.09.2011,0.02035946,-0.01990702,-0.13347809,0.048643417
