"","date","JP_MORGAN_CHASE","EXXON_MOBIL","INTEL","PFIZER","BOEING","RF"
"1",1973-01-03,-0.00230000000000008,0.0127999999999999,-0.00989999999999991,0.00290000000000012,0.0239,0.00021
"2",1973-01-04,0,0.00276461295418651,-0.00999899000101012,0.0113670355967694,-0.00927824982908487,0.00021
"3",1973-01-05,-0.00240553272526811,0.00561244584482079,0,0.00571822932071386,-0.0189274447949527,0.00021
"4",1973-01-08,0.00241133326635179,0.00421032018016265,0.0100999795960008,-0.0225468091363593,0.0144694533762058,0.00021
"5",1973-01-09,-0.00701613711536542,0,0.02999697000303,0,-0.0142630744849445,0.00021
"6",1973-01-10,-0.00474412031896643,0,-0.0194155716807217,0.0115334469962893,0.0144694533762058,0.00021
"7",1973-01-11,-0.00466531440162266,0.00965288611544457,0,0.0141780686099544,0.00940966719492864,0.00021
"8",1973-01-12,-0.00947625840635835,0.013713182037663,0,-0.0168149379215956,-0.0328721420861544,0.00021
"9",1973-01-15,0.00236601172718864,-0.0121939601790988,0.00990000000000002,0.00288356368698417,-0.0291193181818182,0.00021
"10",1973-01-16,-0.00236042692939253,-0.00549715498119385,-0.00980295078720661,-0.00287527265516563,-0.0299926847110461,0.00021
"11",1973-01-17,-0.00956691698384937,0.00552754072924744,0.0297000000000001,0,0,0.00021
"12",1973-01-18,0.0047777316161195,0.0109943099623879,0,0,0,0.00021
"13",1973-01-19,0.00723589001447178,0.0135457407230755,0,-0.00278413045639836,-0.0102348631760395,0.00021
"14",1973-01-22,-0.026272577996716,0.00131764705882365,-0.0384578032436631,-0.00857513211686112,-0.0208990965494721,0.00021
"15",1973-01-23,-0.00484822934232709,-0.0079894726948021,-0.01999798000202,-0.00864930101579009,-0.00533629794330193,0.00021
"16",1973-01-24,-0.00984960813387004,0,0.0102030299907245,-0.00872476412701628,-0.0480608025036324,0.00021
"17",1973-01-26,-0.00502727564445393,0.00407428463141923,0.0100999795960008,-0.0352062224951386,0,0.00021
"18",1973-01-29,-0.0124704364652762,0.00264225724261591,0,0,0.0224257367617706,0.00021
"19",1973-01-30,-0.0025038101458742,0.00536470588235294,0,0.00307627028747226,0.00551217271474513,0.00021
"20",1973-01-31,0.0101495143511952,0.00795731136491296,-0.00999899000101012,0.0151226734348562,0.0218136135221563,0.00021
"21",1973-02-01,-0.00756266205704414,0.00260053868301302,0,-0.00302114803625364,-0.0159830110651614,0.00022
"22",1973-02-02,-0.00500762029174828,-0.00259379342288102,-0.0504998979800041,-0.00595611285266462,-0.00658791458427999,0.00022
"23",1973-02-05,-0.00765864332603938,-0.00185752763072355,-0.021274309659396,-0.00599180069378735,-0.00548822318774289,0.00022
"24",1973-02-06,-0.00518191841234839,-0.0133060388945752,-0.0326051158195192,0,-0.00551851000229941,0.00022
"25",1973-02-07,-0.0103069932394991,-0.020369671821954,-0.011234679981843,-0.0212563451776651,0.00554913294797688,0.00022
"26",1973-02-08,-0.00515117581187008,0.00972275702733927,0,0.0154511075094543,0,0.00022
"27",1973-02-09,-0.00270148581719953,0.0204976642196588,0,0.0153224090231965,0.0277075189698781,0.00022
"28",1973-02-12,0.00530474040632045,-0.00401718983557553,0.034086996442098,0.00597359044225532,-0.016221053809151,0.00022
"29",1973-02-13,0.007858987313349,-0.0215739611668698,0.0439511653718092,0.0208355036983019,0.0437798498976576,0.00022
"30",1973-02-14,-0.00523560209424079,-0.0260761192598984,-0.0105251966829684,-0.0145933258495764,-0.0261466390674366,0.00022
"31",1973-02-15,-0.00515117581187008,-0.00570922334875479,0.0106371548296982,0.0119096934548466,-0.0107394563150239,0.00022
"32",1973-02-16,0.0104682575416479,0.00861300861300851,-0.0105251966829684,0,0,0.00022
"33",1973-02-20,0.0103598083992427,0.00981546917942677,0,0.00583358919250854,-0.01096912812394,0.00022
"34",1973-02-21,-0.00253583241455346,0,0,0.00875050875050865,-0.0439057855019436,0.00022
"35",1973-02-22,-0.00265281308721121,-0.00281881804043538,-0.021274309659396,0.00574944522896903,0,0.00022
"36",1973-02-23,0.00520891056189732,0,0,-0.0114331561528432,0,0.00022
"37",1973-02-26,0.0179713340683572,0.00146213081197,-0.0543418596991986,-0.00588414324845288,0,0.00022
"38",1973-02-27,0.0125636304559731,-0.00564531827915127,-0.0114929185047596,0.00591897132360453,-0.00574025352786423,0.00022
"39",1973-02-28,0.00748743181088884,0.00420908379013318,-0.0116265413975338,-0.0108552297859389,0,0.00022
"40",1973-03-01,0.00488374562055438,0.00282678623647525,-0.0235266159695816,0,0,0.00021
"41",1973-03-02,-0.00739566825145277,-0.00136080870917576,0.0120467266974933,-0.00297435897435905,-0.00577339427471735,0.00021
"42",1973-03-05,0.00989888238424697,0.00272532606579712,0,-0.00288036210266418,0.00580691991289628,0.00021
"43",1973-03-06,0.00980185497470498,0.0125218404193361,0.0238066610556691,0.00288868255442054,0.0288669713735867,0.00021
"44",1973-03-07,0.0073061267091119,-0.0150512894257503,0.0697592483852025,0.0207797551692215,0.0224456394669159,0.00021
"45",1973-03-08,0.012019479846648,0.00973330737784694,-0.0108683719398398,0.011589237125869,0,0.00021
"46",1973-03-09,0.00900993140165851,-0.0096394833236938,0,0.00567842199641366,-0.0219528927509718,0.00021
"47",1973-03-12,0.0072044647387115,0.00973330737784694,0.0109877913429524,-0.0113917781079743,-0.0112228197334582,0.00021
"48",1973-03-13,0.00231714688696338,0.0152303836514363,0,-0.00290581162324643,0,0.00021
"49",1973-03-14,-0.0188963714946225,0.00949487276870498,0,-0.00281378755903927,-0.0113502009931425,0.00021
