"","DEUTSCHE_BANK","ALLIANZ","BASF","SIEMENS","BMW","BAYER","E_ON","RWE","HENKEL","SAP"
"2017-06-23",518.35,6263.68,13452.04,5329.19,16734.58,10854.14,2925.48,1846.43,1339.27,25660.05
"2017-07-23",541.66,6373.21,12800.21,4957.32,16091.82,9857.11,2755.15,1668.42,1271.91,23902.45
"2017-08-23",479.75,6553.27,13030.23,4796.26,15835.63,9627.16,3076.78,2012.02,1238.53,23901.91
"2017-09-23",483.12,6742.08,14004.97,4996.95,17032.7,9817.66,3052.82,1949.15,1233.07,24713.57
"2017-10-23",494.93,7081.46,14338.94,4964.24,17172.07,10449,3281.9,2062.27,1262.2,25786.3
"2017-11-23",554.9,7076.81,14591.87,4873.44,17285.89,9663.05,3196.57,1901.5,1223.36,25872.07
"2017-12-23",566.33,7034.19,14779.23,5029.07,17561.85,9404.77,3030.83,1647.14,1216.08,25394.68
"2018-01-23",550.84,7414.53,15365.18,5354,18997.33,9734.3,2978.98,1702.6,1262.2,24931.22
"2018-02-23",462.24,6911.57,13922.82,4888.7,17377.94,8751.96,2850.33,1600.06,1223.36,22743.95
"2018-03-23",390.53,6491.18,12763.24,4466.63,16782.9,8034.13,2917.61,1908.62,1231.86,22392.8
"2018-04-23",406.37,7039.2,13780.64,4776.79,18218.59,8776.9,2917.94,2062.18,1179.87,23339.01
"2018-05-23",379.41,7107.62,14355.82,5121.33,18461.96,9210.62,3146.76,2058.02,1218.78,26276.69
"2018-06-23",332.53,6609.64,13658.49,5126.62,16782.28,9234.05,3074.65,1995.36,1184.19,27500.5
"2018-07-23",364.41,6867.27,13504.62,5148.64,16709.25,8620.93,3287.27,2302.46,1153.92,27117.04
"2018-08-23",345.87,6959.66,12967.71,4956.55,16942.94,7605.88,3216.17,2244.45,1212.6,28142.32
"2018-09-23",368.7,7218.03,13339.29,4846.41,17871.46,7099.75,3033.68,2213.38,1160.72,28261.99
"2018-10-23",326.49,6851.5,10916.64,4410.23,15438.53,6498.73,2895.87,1842.07,1052.61,25477.13
"2018-11-23",287.13,6914.59,10733.31,4420.8,15311.25,5845.6,3059.75,1945.64,1111.3,24283.23
"2018-12-23",246.5,6555.57,9903.39,4304.05,14933.58,5656.73,3003.88,1958.07,1047.05,23442.87
"2019-01-23",278.42,6895.81,10361.73,4356.04,15050.43,6151.69,3105.79,2131.56,993.93,24832.59
"2019-02-23",267.92,7290.14,10692.39,4383.86,15296.64,6256.82,3285.24,2275.53,1026.67,25966.65
"2019-03-23",257.74,7377.27,10746.4,4372.41,14568.43,5531.13,3363.79,2454.71,1015.55,26804.29
"2019-04-23",269.36,8063.02,12198.36,4840.93,16147.96,5777.68,3325.19,2373.92,1045.37,27712.63
"2019-05-23",227.71,7813.8,10393.29,4758.49,13929,5292.77,3305.6,2453.17,982.21,31119.13
"2019-06-23",226,8314.18,10701.55,4828.11,14155.29,5341.46,3515.13,2431.78,1004.31,32502.07
"2019-07-23",254.43,8480.98,10840.26,4689.79,15212.05,5935.49,3376.15,2550.49,1079.48,31097.09
"2019-08-23",224.78,7761.21,9906.94,4028.46,12913.98,6463.31,2885.13,2693.78,1004.95,29278.86
"2019-09-23",252.89,8292.6,10773.47,4435.15,14019.08,6446.75,3163.08,3058.44,1067.48,29802.29
"2019-10-23",256.57,8679.17,11542.39,4753.91,15128.56,6466.23,3160.6,2983.59,1090.85,32601.25
"2019-11-23",238.78,8569.28,11944.84,5263.2,16295.17,6681.45,3236.47,2825.32,1091.48,33901.55
"2019-12-23",246.71,8657.58,11610.89,5381.36,16132.59,7191.73,3366.58,2880.93,1062.42,33218.34
"2020-01-23",274.43,8583.02,10818,5307.16,15310.91,7216.08,3653.04,3341.83,1084.53,34353.35
"2020-02-23",335.05,9042.19,10406.99,4990.55,14142.11,7170.31,4006.15,3678.69,1061.79,34634.35
"2020-03-23",197.56,5293.45,6851.8,3269.95,8875.89,4664.64,2829.12,2287.42,707.44,25562.53
"2020-04-23",206.42,6220.43,7668.67,3757.14,10905.92,5794.29,3058.14,2643.52,890.62,29752.7
"2020-05-23",239.5,6495.32,7843.35,4437.41,11609.29,5902.19,3389.98,3120.47,890.62,29761.04
"2020-06-23",303.83,7617.71,9420.46,4945,13537.23,7432.46,3742.95,3425.24,950.72,35134.02
"2020-07-23",295.9,7792.56,9641.1,5392.82,13970.04,6235.12,3873.04,3702.83,985.02,38919.14
"2020-08-23",277.82,7464.5,9018.36,5503.83,13088.23,5752.52,3649.28,3574.47,964.31,37985.44
"2020-09-23",247.86,6801.73,9188.86,5313.13,14088.07,5605.91,3487.97,3413.19,996.67,36900.78
"2020-10-23",289.18,6803.39,9513.46,5750.39,14775.46,4316.93,3531.08,3642.49,1073.04,35078.11
"2020-11-23",332.87,8193.88,10707.88,5904.98,17029.74,4878.44,3356.39,3810.35,1017.38,27675.59
"2020-12-23",320.37,8325.44,11827.54,6152.12,16925.59,4914.08,3340.77,3701.74,1008.32,29056.57
"2021-01-23",320.19,8188.89,12117.48,6940.86,16513.62,5361.55,3233.73,4040.75,1019.33,29308.16
"2021-02-23",352.55,8262.99,12429.31,6970.24,15985.93,5448.09,3214.4,3461.46,964.96,28531.01
"2021-03-23",374.27,8836.26,12573.37,7364,19383.54,5497.98,3366.79,3596.41,1074.98,28939.16
"2021-04-23",351.01,9071.47,12874.26,7665,20008.44,5574.34,3758.56,3731.36,1097.78,33182.75
"2021-05-23",430.2,9407.68,13001.07,7331.64,20234.22,5915.84,3964.73,3674.34,1087.2,32529.3
"2021-06-23",387.63,9327.2,12490.36,7388.82,21669.37,5357,3828.61,3385.98,1023.05,33160.22
"2021-07-23",377.2,9135.79,12848.05,7261.52,20276.84,5415.1,4041.74,3398.37,1025.7,33472.84
